data;valor;ano;mes;mes_nome;mes_ano
1994-08-01;2569000;1994;8;Aug;1994-08
1994-09-01;2852000;1994;9;Sep;1994-09
1994-10-01;907000;1994;10;Oct;1994-10
1994-11-01;1640000;1994;11;Nov;1994-11
1994-12-01;1371000;1994;12;Dec;1994-12
1995-01-01;1475000;1995;1;Jan;1995-01
1995-02-01;1636000;1995;2;Feb;1995-02
1995-03-01;1734000;1995;3;Mar;1995-03
1995-04-01;1680000;1995;4;Apr;1995-04
1995-05-01;1656000;1995;5;May;1995-05
1995-06-01;1911000;1995;6;Jun;1995-06
1995-07-01;2149000;1995;7;Jul;1995-07
1995-08-01;1690000;1995;8;Aug;1995-08
1995-09-01;1727000;1995;9;Sep;1995-09
1995-10-01;2364000;1995;10;Oct;1995-10
1995-11-01;1862000;1995;11;Nov;1995-11
1995-12-01;1580000;1995;12;Dec;1995-12
1996-01-01;1908000;1996;1;Jan;1996-01
1996-02-01;1908000;1996;2;Feb;1996-02
1996-03-01;2071000;1996;3;Mar;1996-03
1996-04-01;1980000;1996;4;Apr;1996-04
1996-05-01;2359000;1996;5;May;1996-05
1996-06-01;2108000;1996;6;Jun;1996-06
1996-07-01;2670000;1996;7;Jul;1996-07
1996-08-01;2577000;1996;8;Aug;1996-08
1996-09-01;2485000;1996;9;Sep;1996-09
1996-10-01;2376000;1996;10;Oct;1996-10
1996-11-01;2102000;1996;11;Nov;1996-11
1996-12-01;2317000;1996;12;Dec;1996-12
1997-01-01;2415000;1997;1;Jan;1997-01
1997-02-01;2027000;1997;2;Feb;1997-02
1997-03-01;2042000;1997;3;Mar;1997-03
1997-04-01;2375000;1997;4;Apr;1997-04
1997-05-01;2287000;1997;5;May;1997-05
1997-06-01;2350000;1997;6;Jun;1997-06
1997-07-01;2594000;1997;7;Jul;1997-07
1997-08-01;3213000;1997;8;Aug;1997-08
1997-09-01;3917000;1997;9;Sep;1997-09
1997-10-01;3127000;1997;10;Oct;1997-10
1997-11-01;2344000;1997;11;Nov;1997-11
1997-12-01;2813000;1997;12;Dec;1997-12
1998-01-01;3610000;1998;1;Jan;1998-01
1998-02-01;3028000;1998;2;Feb;1998-02
1998-03-01;4349000;1998;3;Mar;1998-03
1998-04-01;4162000;1998;4;Apr;1998-04
1998-05-01;5010000;1998;5;May;1998-05
1998-06-01;4304000;1998;6;Jun;1998-06
1998-07-01;4677000;1998;7;Jul;1998-07
1998-08-01;4505000;1998;8;Aug;1998-08
1998-09-01;5057000;1998;9;Sep;1998-09
1998-10-01;8735000;1998;10;Oct;1998-10
1998-11-01;4105000;1998;11;Nov;1998-11
1998-12-01;5507000;1998;12;Dec;1998-12
1999-01-01;40016000;1999;1;Jan;1999-01
1999-02-01;12888000;1999;2;Feb;1999-02
1999-03-01;-11418000;1999;3;Mar;1999-03
1999-04-01;2371000;1999;4;Apr;1999-04
1999-05-01;8376000;1999;5;May;1999-05
1999-06-01;6566000;1999;6;Jun;1999-06
1999-07-01;6201000;1999;7;Jul;1999-07
1999-08-01;12481000;1999;8;Aug;1999-08
1999-09-01;4433000;1999;9;Sep;1999-09
1999-10-01;7742000;1999;10;Oct;1999-10
1999-11-01;1711000;1999;11;Nov;1999-11
1999-12-01;-3914000;1999;12;Dec;1999-12
2000-01-01;5473000;2000;1;Jan;2000-01
2000-02-01;5185000;2000;2;Feb;2000-02
2000-03-01;5394000;2000;3;Mar;2000-03
2000-04-01;8266000;2000;4;Apr;2000-04
2000-05-01;7384000;2000;5;May;2000-05
2000-06-01;5131000;2000;6;Jun;2000-06
2000-07-01;3612682;2000;7;Jul;2000-07
2000-08-01;8140000;2000;8;Aug;2000-08
2000-09-01;6935000;2000;9;Sep;2000-09
2000-10-01;9957887;2000;10;Oct;2000-10
2000-11-01;8066433;2000;11;Nov;2000-11
2000-12-01;5921619;2000;12;Dec;2000-12
2001-01-01;5694726;2001;1;Jan;2001-01
2001-02-01;9090454;2001;2;Feb;2001-02
2001-03-01;11683028;2001;3;Mar;2001-03
2001-04-01;9524474;2001;4;Apr;2001-04
2001-05-01;13748071;2001;5;May;2001-05
2001-06-01;2583969;2001;6;Jun;2001-06
2001-07-01;16044697;2001;7;Jul;2001-07
2001-08-01;15888791;2001;8;Aug;2001-08
2001-09-01;14039855;2001;9;Sep;2001-09
2001-10-01;10407822;2001;10;Oct;2001-10
2001-11-01;-7910152;2001;11;Nov;2001-11
2001-12-01;-2686463;2001;12;Dec;2001-12
2002-01-01;16690690;2002;1;Jan;2002-01
2002-02-01;1245359;2002;2;Feb;2002-02
2002-03-01;5335322;2002;3;Mar;2002-03
2002-04-01;10163265;2002;4;Apr;2002-04
2002-05-01;16992814;2002;5;May;2002-05
2002-06-01;29085732;2002;6;Jun;2002-06
2002-07-01;35837897;2002;7;Jul;2002-07
2002-08-01;-16077895;2002;8;Aug;2002-08
2002-09-01;49418107;2002;9;Sep;2002-09
2002-10-01;7065429;2002;10;Oct;2002-10
2002-11-01;8192218;2002;11;Nov;2002-11
2002-12-01;10074153;2002;12;Dec;2002-12
2003-01-01;19417343;2003;1;Jan;2003-01
2003-02-01;3710815;2003;2;Feb;2003-02
2003-03-01;2009586;2003;3;Mar;2003-03
2003-04-01;-4002066;2003;4;Apr;2003-04
2003-05-01;13427370;2003;5;May;2003-05
2003-06-01;7227661;2003;6;Jun;2003-06
2003-07-01;15029517;2003;7;Jul;2003-07
2003-08-01;11491415;2003;8;Aug;2003-08
2003-09-01;10535705;2003;9;Sep;2003-09
2003-10-01;7668120;2003;10;Oct;2003-10
2003-11-01;12122933;2003;11;Nov;2003-11
2003-12-01;8078403;2003;12;Dec;2003-12
2004-01-01;11123997;2004;1;Jan;2004-01
2004-02-01;7770493;2004;2;Feb;2004-02
2004-03-01;12504231;2004;3;Mar;2004-03
2004-04-01;12740726;2004;4;Apr;2004-04
2004-05-01;14971888;2004;5;May;2004-05
2004-06-01;10286952;2004;6;Jun;2004-06
2004-07-01;9118583;2004;7;Jul;2004-07
2004-08-01;9401800;2004;8;Aug;2004-08
2004-09-01;8891255;2004;9;Sep;2004-09
