ano;registros;soma;media;mediana;desvio_padrao;minimo;maximo
1994;5;9339000;1867800.0;1640000.0;818866.72;907000;2852000
1995;12;21464000;1788666.67;1708500.0;250882.56;1475000;2364000
1996;12;26861000;2238416.67;2212500.0;261138.58;1908000;2670000
1997;12;31504000;2625333.33;2395000.0;554013.35;2027000;3917000
1998;12;57049000;4754083.33;4427000.0;1416354.06;3028000;8735000
1999;12;87453000;7287750.0;6383500.0;12326512.55;-11418000;40016000
2000;12;79466621;6622218.42;6428309.5;1798053.61;3612682;9957887
2001;12;98109272;8175772.67;9966148.0;7513358.47;-7910152;16044697
2002;12;174023091;14501924.25;10118709.0;17126475.17;-16077895;49418107
2003;12;106716802;8893066.83;9307054.0;6283588.04;-4002066;19417343
2004;12;127229447;10602453.92;10019879.0;2066708.76;7770493;14971888
2005;12;157834517;13152876.42;13430996.5;2216173.59;9836791;17050436
2006;12;152425427;12702118.92;12688003.5;1298288.22;10323529;14678657
2007;12;161207473;13433956.08;13069663.0;2635021.79;10414351;20183995
2008;12;228947858;19078988.17;16895717.5;5795799.53;12644298;31042950
2009;12;170961122;14246760.17;14595629.5;2466851.63;8433901;18798075
2010;12;292056458;24338038.17;19097955.0;20041934.9;13991629;87181878
2011;12;302730203;25227516.92;21811842.0;9034763.46;19337504;49843043
2012;12;323182172;26931847.67;23647799.5;7548335.29;19189430;41521158
2013;12;313504131;26125344.25;23894076.5;7765475.9;20252324;48860318
2014;12;358529796;29877483.0;26056724.0;13208918.34;16323490;61369612
2015;12;443233937;36936161.42;36862460.0;4214345.68;29951157;46004353
2016;12;497163880;41430323.33;42145407.5;2443038.29;36983787;44811903
2017;12;437211034;36434252.83;34860935.5;3800173.65;31777349;43005554
2018;12;400234592;33352882.67;33488140.5;4106224.72;26965295;39316507
2019;12;411089959;34257496.58;34197341.5;4012306.4;28097922;42666142
2020;12;340508567;28375713.92;27965399.5;6379321.45;18448331;36442087
2021;12;511521271;42626772.58;43414428.5;13108932.86;23574643;71791281
2022;12;729061227;60755102.25;62217616.5;10014560.88;44414659;74021680
2023;12;800229912;66685826.0;66680454.0;6864873.74;57712822;78632694
2024;12;898694125;74891177.08;77213586.5;8786720.04;59382246;86655418
2025;10;970953402;97095340.2;98957212.5;17424170.25;71497038;130935506
