mes_nome;registros;soma;media;mediana
Apr;31;809278892;26105770.71;18448331.0
Aug;32;776651213;24270350.41;15912237.0
Dec;31;863628495;27858983.71;24206835.0
Feb;31;714095150;23035327.42;14828429.0
Jan;31;807967557;26063469.58;22003381.0
Jul;31;863768659;27863505.13;20678893.0
Jun;31;862267895;27815093.39;23221700.0
Mar;31;784321833;25300704.29;18669299.0
May;31;839982837;27096220.55;20549759.0
Nov;31;694106305;22390525.97;19526611.0
Oct;32;880048672;27501521.0;19502577.0
Sep;32;824378788;25761837.12;22796891.0
